item;type;poids_g;longueur_cm;largeur_cm;couleur;saveur
courgette;légume;341,27;21,03;6,63;vert;amer
banane;fruit;136,34;20,71;4,09;jaune;sucré
carotte;légume;112,47;17,74;2,89;orange;neutre
banane;fruit;133,5;18,49;3,96;jaune;sucré
tomate;légume;108,11;5,68;6,83;rouge;acide
kiwi;fruit;89,84;6,04;5,56;jaune;acide
banane;fruit;133,01;20,28;5,08;jaune;sucré
banane;fruit;152,78;20,99;3,49;jaune;sucré
kiwi;fruit;76,39;5,51;5,25;vert;acide
kiwi;fruit;75,48;5,8;5,33;vert;acide
orange;fruit;174,4;7,35;8,48;orange;sucré
tomate;légume;;5,62;4,86;rouge;acide
courgette;légume;397,84;28,04;4,9;vert;amer
orange;fruit;180,87;7,19;7,79;orange;sucré
orange;fruit;142,35;8,04;8,57;orange;acide
orange;fruit;151,93;8,47;7,14;orange;acide
tomate;légume;119,61;5,45;6,57;rouge;acide
kiwi;fruit;93,88;5,66;4,78;vert;acide
concombre;légume;318,85;21,86;;vert;neutre
banane;fruit;124,86;21,15;3,5;jaune;sucré
banane;fruit;138,45;19,99;4,47;jaune;sucré
concombre;légume;338,32;23,56;4,85;vert;neutre
banane;fruit;122,82;21,36;3,73;jaune;sucré
banane;fruit;126,21;18,29;3,47;jaune;sucré
tomate;légume;87,93;5,95;6,06;rouge;acide
orange;fruit;;8,85;7,95;orange;acide
tomate;légume;127,9;5,9;5,92;rouge;acide
kiwi;fruit;73,91;5,68;;vert;acide
carotte;légume;99,14;16,17;2,89;orange;neutre
carotte;légume;114,44;14,54;3,75;orange;neutre
courgette;légume;356,83;26,46;5,99;;amer
carotte;légume;67,26;18,14;3,09;orange;neutre
carotte;légume;98,82;19,24;2,24;orange;neutre
tomate;légume;122,37;6,08;6,43;rouge;acide
kiwi;fruit;78,38;5,79;5,41;vert;acide
carotte;légume;112,13;16,42;3,27;orange;neutre
courgette;légume;417,44;27,0;5,86;vert;amer
concombre;légume;252,63;;5,85;vert;neutre
kiwi;fruit;85,59;6,21;5,47;jaune;acide
pomme;fruit;165,17;;7,0;rouge;sucré
orange;fruit;144,6;7,84;8,74;orange;sucré
orange;fruit;164,73;;9,0;orange;acide
concombre;légume;308,04;21,15;5,37;vert;neutre
pomme;fruit;154,56;6,85;7,39;jaune;sucré
concombre;légume;295,75;22,17;4,74;vert;neutre
tomate;légume;76,16;6,29;6,98;rouge;acide
courgette;légume;358,53;24,47;5,87;vert;amer
kiwi;fruit;73,27;5,84;5,11;vert;acide
kiwi;fruit;85,09;5,93;5,66;jaune;acide
tomate;légume;102,63;5,74;6,11;rouge;acide
tomate;légume;;6,67;;rouge;acide
tomate;légume;113,76;5,91;5,92;rouge;acide
concombre;légume;275,7;23,52;4,72;vert;neutre
pomme;fruit;211,25;7,67;6,44;rouge;sucré
tomate;légume;125,64;6,53;6,1;rouge;acide
kiwi;fruit;83,9;6,08;5,07;vert;acide
tomate;légume;105,69;5,96;5,91;rouge;acide
pomme;fruit;176,04;7,34;6,42;jaune;acide
concombre;légume;305,81;23,23;5,11;;neutre
carotte;légume;95,9;;2,87;orange;neutre
carotte;légume;66,92;19,01;2,91;orange;neutre
carotte;légume;86,15;21,28;3,6;orange;neutre
concombre;légume;258,73;24,23;5,02;vert;neutre
banane;fruit;126,23;21,67;3,56;jaune;sucré
banane;fruit;;20,23;3,95;jaune;sucré
concombre;légume;325,68;19,76;4,95;vert;neutre
concombre;légume;;21,67;4,33;vert;neutre
carotte;légume;72,6;17,41;3,44;orange;neutre
pomme;fruit;166,59;6,59;6,64;rouge;acide
tomate;légume;124,34;6,24;5,97;rouge;acide
carotte;légume;64,76;15,95;2,89;orange;neutre
courgette;légume;457,76;25,34;;vert;amer
courgette;légume;265,77;24,38;5,98;vert;amer
kiwi;fruit;77,5;5,58;4,58;jaune;acide
banane;fruit;134,36;;4,27;jaune;sucré
kiwi;fruit;91,44;6,08;5,65;vert;acide
pomme;fruit;176,53;6,85;6,63;vert;acide
orange;fruit;179,71;7,98;8,05;orange;acide
pomme;fruit;161,69;6,66;6,59;jaune;acide
concombre;légume;267,12;19,56;;vert;neutre
pomme;fruit;170,58;7,73;7,9;jaune;acide
concombre;légume;;21,64;4,54;vert;neutre
kiwi;fruit;74,63;6,28;5,48;jaune;acide
courgette;légume;309,15;23,64;6,05;vert;amer
pomme;fruit;189,71;6,78;6,69;jaune;acide
pomme;fruit;127,41;6,6;7,48;rouge;acide
carotte;légume;61,43;18,05;2,88;orange;neutre
kiwi;fruit;80,17;;5,82;vert;acide
banane;fruit;139,09;22,14;4,04;jaune;sucré
tomate;légume;109,86;5,77;5,81;rouge;acide
concombre;légume;320,64;24,32;4,81;vert;neutre
courgette;légume;331,47;19,53;6,14;vert;amer
orange;fruit;155,43;8,33;7,55;orange;sucré
concombre;légume;305,68;21,0;5,31;vert;neutre
concombre;légume;364,82;25,14;4,5;vert;neutre
pomme;fruit;183,48;6,32;7,1;rouge;acide
orange;fruit;168,91;;;orange;acide
kiwi;fruit;78,29;6,27;5,78;vert;acide
concombre;légume;339,85;19,7;5,2;vert;neutre
carotte;légume;104,06;16,82;2,81;orange;
carotte;légume;;21,2;2,7;;neutre
concombre;légume;369,83;24,8;4,81;vert;neutre
carotte;légume;94,13;19,49;3,24;orange;neutre
pomme;fruit;176,97;6,54;5,92;jaune;sucré
banane;fruit;117,31;20,09;3,47;jaune;sucré
courgette;légume;283,11;25,1;;vert;amer
orange;fruit;167,54;8,76;7,51;orange;acide
pomme;fruit;154,78;6,62;6,81;rouge;acide
carotte;légume;97,34;15,56;3,29;orange;neutre
tomate;légume;117,45;6,52;5,3;rouge;acide
banane;fruit;;20,56;4,12;jaune;sucré
concombre;légume;252,06;;5,11;vert;neutre
courgette;légume;371,2;23,05;5,99;;amer
carotte;légume;82,03;14,86;3,14;orange;neutre
concombre;légume;228,02;22,27;4,13;vert;neutre
pomme;fruit;188,0;6,77;6,79;rouge;sucré
concombre;légume;217,4;22,06;3,96;vert;neutre
carotte;légume;59,65;20,22;3,32;orange;neutre
tomate;légume;119,11;5,71;4,7;rouge;acide
banane;fruit;129,81;20,02;;jaune;sucré
banane;fruit;117,07;20,86;4,18;jaune;sucré
carotte;légume;66,09;15,48;2,75;orange;neutre
carotte;légume;98,82;18,23;2,7;orange;neutre
pomme;fruit;180,01;7,23;7,11;jaune;sucré
orange;fruit;147,05;8,5;8,14;orange;sucré
banane;fruit;130,58;21,27;3,1;jaune;sucré
tomate;légume;103,04;5,77;6,09;;acide
concombre;légume;353,62;19,4;5,41;vert;neutre
pomme;fruit;179,15;5,96;7,34;vert;acide
courgette;légume;420,77;26,14;5,65;vert;amer
pomme;fruit;164,25;6,7;6,43;vert;acide
kiwi;fruit;81,55;5,74;5,31;vert;acide
kiwi;fruit;76,49;6,06;;vert;acide
kiwi;fruit;91,64;6,32;4,96;jaune;acide
kiwi;fruit;86,09;6,4;4,75;jaune;acide
concombre;légume;275,87;18,83;4,93;vert;neutre
pomme;fruit;176,3;7,13;6,68;vert;sucré
banane;fruit;139,09;20,69;4,09;jaune;sucré
tomate;légume;102,63;5,74;6,11;rouge;acide
pomme;fruit;160,63;7,31;7,09;rouge;acide
concombre;légume;260,47;18,43;5,29;vert;neutre
carotte;légume;90,89;20,25;2,82;orange;neutre
pomme;fruit;181,57;7,16;6,93;vert;sucré
orange;fruit;160,45;8,35;8,0;orange;acide
kiwi;fruit;81,18;5,79;6,23;vert;acide
carotte;légume;99,92;15,47;;orange;neutre
carotte;légume;68,35;17,03;2,97;orange;neutre
tomate;légume;95,06;5,64;5,7;rouge;acide
carotte;légume;87,49;15,12;2,25;orange;neutre
pomme;fruit;174,38;6,91;7,25;vert;acide
banane;fruit;139,7;21,64;3,94;jaune;sucré
carotte;légume;95,56;18,78;3,24;orange;neutre
kiwi;fruit;71,56;5,71;4,37;vert;acide
banane;fruit;;17,83;3,85;jaune;sucré
courgette;légume;356,83;26,46;5,99;;amer
carotte;légume;96,81;16,93;2,72;orange;neutre
kiwi;fruit;81,16;6,01;;jaune;acide
pomme;fruit;175,09;7,06;6,68;vert;acide
carotte;légume;81,19;16,44;2,87;;neutre
banane;fruit;120,34;20,39;4,41;jaune;sucré
concombre;légume;367,78;18,52;5,35;vert;neutre
carotte;légume;73,9;17,27;2,93;orange;neutre
concombre;légume;312,77;23,55;5,56;vert;neutre
concombre;légume;265,67;19,12;5,43;vert;neutre
banane;fruit;;20,12;3,96;jaune;sucré
tomate;légume;110,17;5,99;;rouge;acide
courgette;légume;306,6;26,89;6,08;vert;amer
courgette;légume;334,37;25,72;6,33;;amer
carotte;légume;76,52;18,1;3,07;orange;neutre
pomme;fruit;176,66;6,86;6,47;jaune;acide
banane;fruit;132,66;19,45;4,19;jaune;sucré
orange;fruit;170,37;7,66;8,12;orange;sucré
kiwi;fruit;77,4;;5,52;jaune;acide
orange;fruit;161,61;7,84;7,48;orange;acide
banane;fruit;138,9;21,07;4,02;jaune;sucré
carotte;légume;76,1;17,94;;orange;neutre
courgette;légume;357,48;24,2;;vert;amer
courgette;légume;317,22;26,74;4,94;vert;amer
kiwi;fruit;78,35;5,72;4,73;jaune;acide
carotte;légume;66,25;18,83;2,91;orange;neutre
kiwi;fruit;71,56;6,05;4,61;jaune;acide
kiwi;fruit;81,55;5,74;5,31;vert;acide
banane;fruit;135,72;18,34;4,79;jaune;sucré
pomme;fruit;151,44;7,05;7,66;jaune;sucré
concombre;légume;292,4;22,9;;vert;neutre
kiwi;fruit;;6,03;5,03;vert;acide
courgette;légume;404,0;25,89;6,29;vert;amer
kiwi;fruit;90,0;6,31;4,98;jaune;acide
carotte;légume;76,14;15,65;3,29;orange;neutre
banane;fruit;131,26;19,67;;jaune;sucré
banane;fruit;119,97;21,38;4,42;;sucré
pomme;fruit;169,3;7,24;7,04;vert;acide
pomme;fruit;164,99;7,32;6,99;;sucré
banane;fruit;117,97;;4,62;jaune;sucré
orange;fruit;140,29;7,52;8,41;orange;sucré
concombre;légume;254,59;18,79;4,51;vert;neutre
concombre;légume;292,0;19,94;5,25;vert;neutre
kiwi;fruit;81,75;6,1;5,63;jaune;acide
tomate;légume;107,78;5,69;6,08;rouge;acide
carotte;légume;99,4;14,81;2,18;orange;neutre
concombre;légume;331,03;21,41;4,83;vert;neutre
kiwi;fruit;81,59;5,91;5,48;jaune;acide
orange;fruit;158,96;9,03;8,92;orange;sucré
pomme;fruit;154,56;6,85;7,39;jaune;sucré
kiwi;fruit;81,55;5,74;5,31;vert;acide
kiwi;fruit;;5,56;4,72;;acide
orange;fruit;171,27;;7,18;orange;acide
orange;fruit;154,25;8,22;9,41;orange;sucré
tomate;légume;108,97;6,36;5,86;rouge;acide
concombre;légume;234,71;22,56;;vert;neutre
carotte;légume;111,15;17,71;2,87;orange;neutre
pomme;fruit;188,82;7,37;7,27;vert;sucré
pomme;fruit;168,1;6,59;6,62;rouge;acide
tomate;légume;96,99;5,49;5,5;rouge;acide
carotte;légume;108,22;14,98;2,89;orange;neutre
tomate;légume;117,74;6,37;5,54;rouge;acide
courgette;légume;392,83;24,65;5,95;vert;amer
carotte;légume;102,61;18,42;2,48;orange;neutre
tomate;légume;114,82;6,35;5,95;rouge;
banane;fruit;127,97;18,8;3,97;jaune;sucré
concombre;légume;282,85;24,63;4,94;vert;neutre
carotte;légume;92,23;20,36;3,94;orange;neutre
carotte;légume;99,63;20,45;2,77;orange;neutre
orange;fruit;146,13;8,19;8,22;orange;sucré
orange;fruit;172,9;7,18;8,93;orange;sucré
tomate;légume;114,68;5,39;6,47;rouge;
concombre;légume;322,22;20,75;4,75;vert;neutre
tomate;légume;125,05;5,6;;rouge;acide
pomme;fruit;167,29;6,03;7,21;rouge;acide
tomate;légume;105,4;5,8;5,75;rouge;acide
pomme;fruit;172,27;7,01;7,09;vert;sucré
pomme;fruit;164,1;6,56;6,56;rouge;acide
orange;fruit;160,33;7,97;;orange;sucré
orange;fruit;176,52;8,47;8,24;orange;sucré
orange;fruit;176,76;9,85;8,27;orange;acide
orange;fruit;169,8;7,74;8,24;orange;acide
tomate;légume;112,63;6,64;6,21;rouge;acide
banane;fruit;;20,35;;jaune;sucré
pomme;fruit;;;7,62;rouge;acide
banane;fruit;128,11;20,83;3,99;jaune;sucré
banane;fruit;127,62;16,61;3,64;jaune;sucré
pomme;fruit;195,29;6,83;7,08;rouge;acide
kiwi;fruit;72,22;;4,73;vert;acide
courgette;légume;370,61;23,79;7,07;vert;amer
carotte;légume;113,86;17,08;2,39;orange;neutre
courgette;légume;327,31;27,32;5,8;vert;amer
kiwi;fruit;82,12;5,35;5,15;jaune;acide
courgette;légume;403,2;23,89;6,44;vert;
banane;fruit;136,1;20,51;4,33;jaune;sucré
banane;fruit;136,82;18,64;3,88;jaune;sucré
kiwi;fruit;86,11;5,38;5,0;jaune;acide
courgette;légume;259,03;22,61;4,9;vert;amer
banane;fruit;115,47;22,95;4,79;jaune;sucré
tomate;légume;115,01;6,05;6,19;rouge;acide
concombre;légume;278,1;20,12;4,65;vert;neutre
kiwi;fruit;86,37;5,91;4,65;jaune;acide
pomme;fruit;161,81;7,2;6,26;rouge;acide
kiwi;fruit;90,37;5,81;5,35;jaune;acide
pomme;fruit;166,63;6,54;8,47;vert;acide
banane;fruit;145,17;21,74;4,39;jaune;sucré
carotte;légume;101,37;17,83;;orange;neutre
tomate;légume;126,92;5,92;5,7;rouge;acide
concombre;légume;255,85;22,27;5,51;vert;neutre
concombre;légume;253,79;21,53;4,8;vert;neutre
tomate;légume;120,33;7,04;6,71;rouge;acide
kiwi;fruit;76,68;6,25;5,91;vert;acide
courgette;légume;406,09;26,62;5,87;vert;amer
banane;fruit;125,76;21,55;3,89;jaune;sucré
courgette;légume;341,54;24,16;6,46;vert;amer
kiwi;fruit;78,79;6,06;5,89;vert;acide
tomate;légume;93,44;6,04;6,46;rouge;acide
carotte;légume;104,37;18,04;3,22;orange;neutre
carotte;légume;83,64;17,49;2,92;orange;neutre
courgette;légume;268,37;;5,82;vert;amer
concombre;légume;;18,39;;vert;neutre
tomate;légume;122,22;4,69;6,32;rouge;acide
tomate;légume;129,17;5,97;5,67;rouge;acide
carotte;légume;93,7;16,01;3,94;orange;neutre
orange;fruit;150,87;7,62;8,26;orange;acide
orange;fruit;149,01;8,68;7,35;orange;acide
pomme;fruit;175,22;6,7;7,81;rouge;sucré
courgette;légume;317,93;24,91;5,89;;amer
courgette;légume;316,16;23,28;6,32;vert;amer
pomme;fruit;161,73;7,01;7,12;jaune;acide
pomme;fruit;177,65;6,76;6,5;rouge;acide
tomate;légume;104,1;5,06;6,31;rouge;acide
carotte;légume;65,09;21,64;3,48;orange;neutre
courgette;légume;356,62;24,51;6,38;vert;amer
banane;fruit;128,03;19,08;4,06;jaune;sucré
courgette;légume;331,97;28,94;4,86;vert;amer
carotte;légume;99,21;16,26;2,51;orange;neutre
orange;fruit;177,43;8,92;7,95;orange;sucré
banane;fruit;137,25;18,68;;jaune;sucré
pomme;fruit;173,27;7,24;6,13;rouge;sucré
concombre;légume;317,91;21,32;5,09;vert;neutre
concombre;légume;255,79;21,63;4,58;vert;neutre
carotte;légume;67,03;17,71;;orange;neutre
tomate;légume;118,66;6,05;6,38;;acide
courgette;légume;331,67;21,44;5,93;vert;amer
carotte;légume;93,86;15,61;2,88;orange;neutre
tomate;légume;118,37;6,32;5,44;rouge;acide
orange;fruit;173,79;8,33;6,71;orange;acide
concombre;légume;327,56;20,96;4,46;vert;neutre
kiwi;fruit;78,8;;5,15;jaune;acide
banane;fruit;124,49;18,46;3,85;jaune;sucré
kiwi;fruit;74,7;5,76;5,31;jaune;acide
concombre;légume;306,88;19,88;5,36;vert;neutre
banane;fruit;122,9;20,45;4,0;jaune;sucré
pomme;fruit;148,63;7,22;7,1;jaune;acide
tomate;légume;111,62;5,86;6,16;rouge;acide
carotte;légume;108,93;18,36;2,38;orange;neutre
tomate;légume;117,66;6,55;6,03;rouge;acide
concombre;légume;375,02;25,24;4,52;vert;neutre
concombre;légume;301,55;19,32;5,12;vert;neutre
tomate;légume;143,23;5,7;6,87;rouge;acide
banane;fruit;133,48;18,9;4,31;jaune;sucré
banane;fruit;116,45;18,94;4,78;;sucré
concombre;légume;307,56;20,54;5,0;vert;neutre
pomme;fruit;171,16;6,52;7,8;vert;sucré
courgette;légume;365,13;22,93;5,03;vert;amer
courgette;légume;352,78;29,09;5,82;vert;amer
pomme;fruit;193,46;7,21;7,02;jaune;acide
carotte;légume;77,76;18,16;3,34;orange;neutre
tomate;légume;105,98;5,63;5,92;rouge;acide
carotte;légume;96,38;20,39;2,45;orange;neutre
orange;fruit;160,96;7,3;8,06;orange;acide
kiwi;fruit;80,9;;5,25;vert;acide
carotte;légume;81,36;12,2;3,28;orange;neutre
courgette;légume;341,71;21,84;6,34;vert;amer
kiwi;fruit;90,73;5,07;5,43;vert;acide
pomme;fruit;191,8;6,94;6,92;vert;sucré
carotte;légume;95,38;19,51;2,55;orange;neutre
kiwi;fruit;59,7;5,84;4,81;jaune;acide
tomate;légume;107,99;6,07;6,6;rouge;acide
tomate;légume;116,3;5,43;;rouge;acide
tomate;légume;109,68;6,14;5,6;rouge;acide
carotte;légume;89,56;22,56;;orange;neutre
banane;fruit;130,72;19,38;3,9;jaune;sucré
courgette;légume;359,23;25,78;5,5;vert;amer
pomme;fruit;189,11;8,01;6,32;rouge;acide
orange;fruit;169,97;7,36;;orange;acide
concombre;légume;254,31;21,5;5,25;vert;neutre
concombre;légume;304,58;23,9;4,9;vert;neutre
pomme;fruit;160,83;6,95;6,88;jaune;acide
orange;fruit;162,73;;8,6;orange;acide
orange;fruit;143,4;7,68;7,84;orange;acide
tomate;légume;107,3;6,1;7,23;rouge;acide
banane;fruit;121,06;19,0;3,92;jaune;sucré
pomme;fruit;161,72;8,28;6,72;vert;sucré
courgette;légume;364,66;21,63;5,69;vert;amer
orange;fruit;178,07;;8,85;orange;acide
carotte;légume;104,68;15,99;2,99;orange;neutre
banane;fruit;;20,05;4,04;jaune;sucré
pomme;fruit;178,58;6,65;6,23;vert;sucré
pomme;fruit;177,93;7,17;6,99;vert;
kiwi;fruit;80,68;6,64;5,05;jaune;acide
tomate;légume;98,65;5,43;5,92;rouge;acide
courgette;légume;377,46;29,27;5,52;vert;amer
concombre;légume;297,19;18,68;;vert;neutre
courgette;légume;333,54;23,06;5,76;vert;amer
tomate;légume;98,37;5,96;6,44;rouge;acide
tomate;légume;99,64;5,98;6,01;rouge;acide
pomme;fruit;177,47;;7,79;jaune;sucré
pomme;fruit;170,1;7,54;6,71;rouge;acide
concombre;légume;261,99;20,26;4,51;vert;neutre
banane;fruit;122,38;22,33;4,03;jaune;sucré
kiwi;fruit;74,12;6,49;5,44;jaune;acide
courgette;légume;351,55;22,65;;vert;amer
tomate;légume;120,35;;5,42;;acide
carotte;légume;79,88;17,19;3,8;orange;neutre
orange;fruit;156,74;8,02;7,23;orange;sucré
kiwi;fruit;78,58;6,12;4,64;jaune;acide
kiwi;fruit;78,63;6,25;5,28;vert;acide
banane;fruit;131,43;19,13;3,76;jaune;sucré
courgette;légume;386,6;26,07;6,94;vert;amer
orange;fruit;171,23;7,48;7,87;orange;acide
kiwi;fruit;80,9;;5,25;vert;acide
carotte;légume;65,06;19,33;2,71;orange;neutre
orange;fruit;170,96;8,18;8,16;orange;acide
carotte;légume;83,81;16,41;2,0;orange;neutre
courgette;légume;331,97;28,94;4,86;vert;amer
pomme;fruit;170,14;7,07;7,23;rouge;sucré
kiwi;fruit;79,49;6,04;5,1;vert;acide
kiwi;fruit;89,37;6,63;5,31;vert;acide
pomme;fruit;175,91;6,96;7,05;jaune;acide
banane;fruit;136,05;18,99;3,37;jaune;sucré
banane;fruit;130,37;19,87;3,42;jaune;sucré
courgette;légume;308,49;24,63;6,08;vert;amer
pomme;fruit;182,0;6,13;6,78;vert;sucré
tomate;légume;111,32;6,0;5,01;rouge;acide
banane;fruit;124,79;20,68;3,52;jaune;sucré
tomate;légume;113,69;5,45;5,56;rouge;acide
carotte;légume;118,45;19,95;3,44;orange;neutre
tomate;légume;118,66;5,44;5,74;rouge;acide
carotte;légume;87,97;18,51;2,85;orange;neutre
courgette;légume;419,62;26,35;6,14;vert;amer
carotte;légume;93,65;16,81;3,06;orange;neutre
tomate;légume;;;5,9;rouge;
pomme;fruit;186,08;6,56;7,17;jaune;acide
banane;fruit;140,43;22,04;4,12;jaune;sucré
kiwi;fruit;69,94;6,35;4,62;jaune;acide
tomate;légume;133,89;6,7;6,8;rouge;
kiwi;fruit;83,99;6,06;;vert;acide
kiwi;fruit;69,23;6,15;4,68;vert;
banane;fruit;126,08;19,02;3,91;jaune;sucré
pomme;fruit;127,35;7,01;7,15;rouge;sucré
concombre;légume;300,12;22,87;5,6;vert;neutre
orange;fruit;175,62;8,96;;orange;sucré
courgette;légume;349,77;21,78;6,34;vert;amer
carotte;légume;94,62;13,69;3,11;orange;neutre
concombre;légume;341,17;;;vert;neutre
pomme;fruit;160,09;7,22;7,06;vert;sucré
courgette;légume;390,26;21,56;5,97;vert;amer
concombre;légume;254,71;21,88;4,97;vert;neutre
tomate;légume;104,68;6,04;5,9;;acide
carotte;légume;103,47;15,43;;orange;neutre
courgette;légume;311,05;24,41;5,73;vert;amer
carotte;légume;92,16;17,55;3,22;orange;neutre
kiwi;fruit;55,95;6,07;5,23;vert;acide
concombre;légume;298,91;21,47;5,19;vert;neutre
kiwi;fruit;90,0;6,31;4,98;jaune;acide
tomate;légume;117,14;5,72;5,79;rouge;acide
pomme;fruit;167,75;6,97;6,98;jaune;sucré
tomate;légume;114,76;6,76;6,39;rouge;acide
banane;fruit;125,32;19,66;4,25;jaune;sucré
orange;fruit;172,65;7,68;6,82;orange;acide
concombre;légume;301,67;19,11;5,68;vert;neutre
pomme;fruit;;6,9;7,31;vert;acide
carotte;légume;85,89;17,82;3,31;;neutre
orange;fruit;153,47;7,9;8,02;orange;sucré
orange;fruit;180,73;8,13;7,69;orange;sucré
concombre;légume;320,25;20,54;4,88;vert;neutre
kiwi;fruit;79,29;6,37;5,56;vert;acide
carotte;légume;94,69;15,61;3,11;orange;neutre
tomate;légume;158,63;6,29;6,31;rouge;acide
orange;fruit;154,14;8,52;8,09;orange;acide
courgette;légume;488,31;24,54;5,86;vert;amer
pomme;fruit;;7,12;7,5;rouge;sucré
orange;fruit;151,34;8,14;;orange;acide
pomme;fruit;180,13;7,24;;jaune;sucré
courgette;légume;293,82;25,16;6,21;vert;amer
kiwi;fruit;77,4;5,87;5,24;vert;acide
carotte;légume;76,87;19,26;2,86;;neutre
kiwi;fruit;87,69;6,23;5,12;jaune;acide
banane;fruit;127,33;19,21;3,5;jaune;sucré
pomme;fruit;173,07;7,23;6,12;vert;acide
concombre;légume;272,52;19,3;4,96;vert;neutre
kiwi;fruit;87,35;6,22;5,04;jaune;acide
courgette;légume;356,95;20,85;5,52;vert;amer
concombre;légume;271,36;18,39;4,82;vert;neutre
orange;fruit;180,78;6,73;8,23;orange;sucré
pomme;fruit;184,18;7,69;7,34;rouge;sucré
tomate;légume;126,8;6,18;6,02;rouge;acide
pomme;fruit;158,58;6,24;6,74;jaune;sucré
pomme;fruit;181,88;6,71;7,43;rouge;acide
courgette;légume;346,35;26,22;6,17;vert;amer
carotte;légume;83,03;15,35;3,46;orange;neutre
tomate;légume;;6,33;5,07;;acide
banane;fruit;135,64;21,0;4,08;jaune;sucré
banane;fruit;;20,22;3,92;;sucré
kiwi;fruit;85,01;6,16;;jaune;acide
kiwi;fruit;65,38;6,38;4,94;vert;acide
orange;fruit;170,05;7,94;7,49;orange;sucré
kiwi;fruit;80,5;6,04;5,27;jaune;
